WikiProject,Watchers,Monthly Views,Total AI References,Main Page AI Count,AI Policy Pages,Has Specific AI Policy,Subpages Count
Wikipedia:WikiProject Women Do News,0,36,5,2,1,No,2
Wikipedia:WikiProject African environment,0,8,0,0,0,No,0
